reach_node_index,distance_covered,flow_accumulation
3372507,213,1.01E+07
3369808,214,1.01E+07
3367109,215,1.01E+07
3367110,216,1.01E+07
3364411,217,1.01E+07
3361712,218,1.01E+07
3361713,219,1.01E+07
3359014,220,1.01E+07
3359015,221,1.01E+07
3356316,222,1.01E+07
3353617,223,1.01E+07
3350918,224,1.01E+07
3350919,225,1.01E+07
3350920,226,1.01E+07
3353621,227,1.01E+07
3353622,228,1.01E+07
3356323,229,1.01E+07
3356324,230,1.01E+07
3353625,231,1.01E+07
3353626,232,1.01E+07
3356327,233,1.01E+07
3356328,234,1.01E+07
3356329,235,1.01E+07
3356330,236,1.01E+07
3359031,237,1.01E+07
3361732,238,1.01E+07
3361733,239,1.01E+07
3364434,240,1.01E+07
3364435,241,1.01E+07
3367136,242,1.01E+07
3367137,243,1.01E+07
3369838,244,1.01E+07
3369839,245,1.01E+07
3369840,246,1.01E+07
3369841,247,1.01E+07
3372542,248,1.01E+07
3372543,249,1.01E+07
3375244,250,1.01E+07
3375245,251,1.01E+07
3377946,252,1.01E+07
3377947,253,1.01E+07
3377948,254,1.01E+07
3377949,255,1.01E+07
3375250,256,1.01E+07
3375251,257,1.01E+07
3372552,258,1.01E+07
3372553,259,1.01E+07
3369854,260,1.01E+07
3367155,261,1.01E+07
3364456,262,1.01E+07
3364457,263,1.01E+07
3364458,264,1.01E+07
3361759,265,1.01E+07
3361760,266,1.01E+07
3361761,267,1.01E+07
3361762,268,1.01E+07
3359062,269,1.01E+07
3356362,270,1.01E+07
3356363,271,1.01E+07
3353663,272,1.01E+07
3350963,273,1.01E+07
3348264,274,1.01E+07
3345565,275,1.01E+07
3342866,276,1.01E+07
3340166,277,1.01E+07
3340167,278,1.01E+07
3337468,279,1.01E+07
3337469,280,1.01E+07
3337470,281,1.01E+07
3337471,282,1.01E+07
3337472,283,1.01E+07
3337473,284,1.01E+07
3337474,285,1.01E+07
3337475,286,1.01E+07
3337476,287,1.01E+07
3337477,288,1.01E+07
3337478,289,1.01E+07
3337479,290,1.01E+07
3337480,291,1.01E+07
3340181,292,1.01E+07
3340182,293,1.01E+07
3342883,294,1.01E+07
3342884,295,1.02E+07
3345585,296,1.02E+07
3348285,297,1.02E+07
3350986,298,1.02E+07
3350987,299,1.02E+07
3350988,300,1.02E+07
3350989,301,1.02E+07
3350990,302,1.02E+07
3350991,303,1.02E+07
3350992,304,1.02E+07
3350993,305,1.02E+07
3350994,306,1.02E+07
3350995,307,1.02E+07
3350996,308,1.02E+07
3350997,309,1.02E+07
3350998,310,1.02E+07
3350999,311,1.02E+07
3351000,312,1.02E+07
3351001,313,1.02E+07
3351002,314,1.02E+07
3351003,315,1.02E+07
3351004,316,1.02E+07
3351005,317,1.02E+07
3351006,318,1.02E+07
3351007,319,1.02E+07
3351008,320,1.02E+07
3351009,321,1.02E+07
3351010,322,1.02E+07
3351011,323,1.02E+07
3351012,324,1.02E+07
3351013,325,1.02E+07
3351014,326,1.02E+07
3351015,327,1.02E+07
3351016,328,1.02E+07
3351017,329,1.02E+07
3351018,330,1.02E+07
3351019,331,1.02E+07
3351020,332,1.02E+07
3351021,333,1.02E+07
3351022,334,1.02E+07
3351023,335,1.02E+07
3351024,336,1.02E+07
3351025,337,1.02E+07
3351026,338,1.02E+07
3351027,339,1.02E+07
3351028,340,1.02E+07
3351029,341,1.02E+07
3351030,342,1.02E+07
3351031,343,1.02E+07
3351032,344,1.02E+07
3351033,345,1.02E+07
3351034,346,1.02E+07
3351035,347,1.02E+07
3351036,348,1.02E+07
3351037,349,1.02E+07
3351038,350,1.02E+07
3351039,351,1.02E+07
3351040,352,1.02E+07
3351041,353,1.02E+07
3351042,354,1.02E+07
3351043,355,1.02E+07
3351044,356,1.02E+07
3351045,357,1.02E+07
3351046,358,1.02E+07
3351047,359,1.02E+07
3353748,360,1.02E+07
3353749,361,1.02E+07
3353750,362,1.02E+07
3353751,363,1.02E+07
3351052,364,1.02E+07
3348353,365,1.02E+07
3348354,366,1.02E+07
3345655,367,1.02E+07
3342956,368,1.02E+07
3342957,369,1.02E+07
3342958,370,1.02E+07
3342959,371,1.02E+07
3342960,372,1.02E+07
3342961,373,1.02E+07
3342962,374,1.02E+07
3342963,375,1.02E+07
3342964,376,1.02E+07
3342965,377,1.02E+07
3345666,378,1.02E+07
3348367,379,1.02E+07
3351068,380,1.02E+07
3351069,381,1.02E+07
3348370,382,1.02E+07
3345671,383,1.02E+07
3345672,384,1.02E+07
3345673,385,1.02E+07
3345674,386,1.02E+07
3348375,387,1.02E+07
3348376,388,1.02E+07
